"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag","pc_score","PC_tier","nonecon_tier","econ_tier"
"51","marine resource economics","Tier III",1,0.604,4,0.866,35,1.911,0.00068,1,1.76830438925705,"Tier II",NA,NA
"52","preventing chronic disease",NA,1,NA,NA,1.256,55,1.802,0.01193,0,3.10066800664526,"Tier II",NA,NA
"53","professional geographer","Tier III",1,NA,NA,0.774,58,1.276,0.00206,0,2.73369346344779,"Tier II",NA,NA
"54","science","Tier I",1,NA,NA,13.535,978,37.205,1.15823,0,8.21077861290363,"Tier I",NA,NA
"55","small business economics","Tier II",1,5.619,24,2.15,92,2.421,0.0062,1,4.31769917163976,"Tier I",NA,NA
"56","social forces","Tier I",1,NA,NA,2.226,102,2.113,0.0073,0,3.83642242774188,"Tier I",NA,NA
"57","social indicators research","Tier II",1,NA,NA,0.914,76,1.743,0.01033,0,2.8776060666367,"Tier II",NA,NA
"58","southern economic journal","Tier II",1,3.328,17,0.499,45,0.584,0.00247,1,2.63415182987905,"Tier II",NA,NA
"59","agbioforum","Tier III",1,NA,NA,0.214,35,NA,NA,1,1.54142961465231,"Tier III",NA,NA
"60","agricultural systems","Tier I",1,1.262,12,0.965,82,2.571,0.00554,0,3.24497570574571,"Tier I",NA,NA
"61","applied energy","Tier II",1,2.585,39,3.058,125,7.182,0.08843,0,5.37644464491918,"Tier I",NA,NA
"62","choices","Tier III",1,0.959,8,NA,NA,NA,NA,1,2.2604724348268,"Tier II",NA,NA
"63","economic development quarterly","Tier III",1,0.966,7,0.628,36,0.673,0.00065,1,1.71720077167406,"Tier II",NA,NA
"64","european journal of operations research",NA,1,NA,NA,2.437,NA,NA,NA,1,3.63469479157214,"Tier I",NA,NA
"65","forum for health economics and policy","Tier III",1,1.219,5,0.14,2,NA,NA,1,-0.506789834035173,"Tier III",NA,NA
"66","international environmental agreements: politics, law and economics",NA,1,0.652,6,0.762,26,NA,NA,1,1.65358046399965,"Tier II",NA,NA
"67","international journal of trade and global markets","Tier III",1,0.195,3,0.203,3,NA,NA,1,-0.983342847392215,"Tier III",NA,NA
"68","international real estate review","Tier III",1,0.531,4,NA,NA,NA,NA,0,1.09259753872318,"Tier III",NA,NA
"69","journal of agribusiness in developing and emerging economies","Tier III",1,0.535,4,NA,NA,NA,NA,0,1.00420493904644,"Tier III",NA,NA
"70","journal of agricultural economics","Tier II",1,4.406,16,1.196,46,1.795,0.00183,1,3.30882338020118,"Tier I",NA,NA
"71","journal of applied economics","Tier II",1,2.871,9,0.291,14,0.455,0.00034,1,1.29251243163639,"Tier III",NA,NA
"72","journal of asian economics","Tier III",1,3.779,16,0.508,35,NA,NA,1,2.47224737234806,"Tier II",NA,NA
"73","journal of choice modelling","Tier III",1,1.124,6,0.576,15,1.162,0.00071,1,1.56060881482677,"Tier III",NA,NA
"74","journal of disability policy studies",NA,1,NA,NA,0.409,22,1.191,0.00071,0,1.57876090388051,"Tier III",NA,NA
"75","journal of environmental management","Tier I",1,NA,NA,1.141,123,4.01,0.03619,0,3.89933042237521,"Tier I",NA,NA
"76","journal of food protection","Tier I",1,NA,NA,0.759,115,1.417,0.00965,0,2.84930269660795,"Tier II",NA,NA
"77","journal of income distribution","Tier III",1,1.066,5,0.105,8,NA,NA,1,-0.265299522311812,"Tier III",NA,NA
"78","journal of international food and agribusiness marketing","Tier III",1,NA,NA,0.233,17,NA,NA,0,-0.724466057898029,"Tier III",NA,NA
"79","journal of natural resources policy research","Tier III",1,NA,NA,0.199,4,NA,NA,0,-1.60746470768784,"Tier III",NA,NA
"80","journal of the association of environmental and resource economists",NA,1,3.976,12,NA,NA,NA,NA,1,2.82751980470587,"Tier II",NA,NA
"81","journal of wine economics","Tier III",1,0.662,6,NA,NA,NA,NA,1,2.03998840935647,"Tier II",NA,NA
"82","nutrition today","Tier III",1,NA,NA,0.165,13,NA,NA,0,-1.35585543043163,"Tier III",NA,NA
"83","public finance review",NA,1,2.551,12,0.627,24,NA,NA,1,2.13784950207085,"Tier II",NA,NA
"84","regional science and urban economics","Tier I",1,5.367,26,1.017,59,1.336,0.00522,1,3.70254750094417,"Tier I",NA,NA
"85","water resources research",NA,1,NA,NA,2.383,158,4.397,0.05803,0,5.07860871716817,"Tier I",NA,NA
"86","advances in nutrition",NA,1,NA,NA,1.938,47,5.233,0.01144,0,3.94274066779221,"Tier I",NA,NA
"87","agricultural finance review","Tier II",1,1.064,7,0.314,16,NA,NA,1,1.00707856710001,"Tier III",NA,NA
"88","american journal of potato research",NA,1,NA,NA,0.509,39,0.944,0.0011,0,1.99955662961379,"Tier II",NA,NA
"89","american journal of public health","Tier I",1,0.352,11,2.43,212,3.858,0.06261,0,4.09066115566777,"Tier I",NA,NA
"90","applied research in quality of life","Tier II",1,NA,NA,0.281,19,1.286,0.00088,0,1.09115444377605,"Tier III",NA,NA
"91","british journal of nutrition","Tier I",1,NA,NA,1.504,151,3.706,0.03608,0,4.22522457070208,"Tier I",NA,NA
"92","contemporary economic policy","Tier II",1,2.131,13,0.557,39,0.887,0.00139,1,2.4087654534437,"Tier II",NA,NA
"93","economics of governance","Tier III",1,2.786,10,0.257,19,0.576,0.00054,1,1.53073058911498,"Tier III",NA,NA
"94","economic systems research","Tier II",1,4.27,14,2.911,41,2.691,0.00271,1,3.74978338090724,"Tier I",NA,NA
"95","energy economics","Tier I",1,7.954,50,2.387,101,3.199,0.02117,1,5.12501057976801,"Tier I",NA,NA
"96","environmental and resource economics","Tier I",1,4.857,25,1.036,72,1.582,0.00547,1,3.78418151218609,"Tier I",NA,NA
"97","environmental science and technology","Tier II",1,NA,NA,2.538,301,6.198,0.19079,0,5.69227878881473,"Tier I",NA,NA
"98","european review of agricultural economics","Tier I",1,3.962,18,1.078,48,1.6,0.00183,1,3.27264074962872,"Tier I",NA,NA
"99","forest policy and economics","Tier III",1,0.695,8,1.06,50,1.982,0.00342,1,2.62200608730588,"Tier II",NA,NA
"100","industrial and corporate change","Tier I",1,5.254,23,1.835,88,1.777,0.00363,1,4.01446902694377,"Tier I",NA,NA
"101","journal of environmental economics and management",NA,1,10.334,34,2.403,95,2.305,0.00771,1,4.71940859330741,"Tier I",NA,NA
"102","journal of food composition and analysis",NA,1,NA,NA,1.093,88,2.752,0.00627,0,3.26402552827676,"Tier I",NA,NA
"103","journal of international development","Tier III",1,1.23,12,0.477,54,0.786,0.00246,0,2.33365555540182,"Tier II",NA,NA
"104","journal of international trade law and policy","Tier III",1,NA,NA,0.143,6,NA,NA,1,-1.92526576333852,"Tier III",NA,NA
"105","journal of nutrition","Tier I",1,NA,NA,1.956,217,4.145,0.02889,0,4.91999090668572,"Tier I",NA,NA
"106","journal of public health","Tier II",1,NA,NA,0.655,65,2.125,0.00626,0,2.48846212364892,"Tier II",NA,NA
"107","journal of quantitative economics","Tier III",1,0.464,4,NA,NA,NA,NA,1,0.754187012580142,"Tier III",NA,NA
"108","journal of the world aquaculture society","Tier III",1,NA,NA,0.504,46,1.015,0.00176,0,2.18999737657293,"Tier II",NA,NA
"109","national tax journal","Tier II",1,3.026,15,1.101,46,0.653,0.00285,1,2.93304412730345,"Tier II",NA,NA
"110","plos one",NA,1,NA,NA,1.201,218,2.806,1.92176,0,4.7269934668064,"Tier I",NA,NA
"111","proceedings of the national academy of sciences of the united states of america","Tier I",1,NA,NA,6.321,648,9.661,1.23581,0,7.05057832573602,"Tier I",NA,NA
"112","regional studies",NA,1,2.355,23,2.038,91,2.78,0.00804,0,4.1309149547807,"Tier I",NA,NA
"113","renewable energy","Tier I",1,2.466,28,1.697,134,4.357,0.04051,0,4.70807854382066,"Tier I",NA,NA
"114","review of economics and finance",NA,1,0.496,5,NA,NA,NA,NA,1,0.690458914556695,"Tier III",NA,NA
"115","review of industrial organization","Tier III",1,1.874,12,0.67,46,0.65,0.00127,1,2.35463815296106,"Tier II",NA,NA
"116","african journal of agricultural and resource economics","Tier III",1,1.504,8,NA,NA,NA,NA,1,2.31746907129345,"Tier II",NA,NA
"117","agrekon",NA,1,0.653,3,0.228,17,0.224,1e-04,1,-0.0756300352844263,"Tier III",NA,NA
"118","annals of internal medicine","Tier I",1,NA,NA,6.492,339,17.202,0.09996,0,6.6021409870539,"Tier I",NA,NA
"119","british medical journal",NA,1,NA,NA,2.687,358,20.785,0.15994,0,6.07816286927464,"Tier I",NA,NA
"120","china economic review","Tier II",1,3.822,20,0.837,52,1.366,0.00375,1,3.3211411625833,"Tier I",NA,NA
"121","economics of innovation and new technology","Tier III",1,3.433,16,0.62,22,NA,NA,1,2.35788023558998,"Tier II",NA,NA
"122","energy","Tier I",1,2.071,32,1.999,134,4.52,0.06612,0,4.88952682756144,"Tier I",NA,NA
"123","energy journal","Tier I",1,6.634,26,1.537,57,2.429,0.00354,1,4.01592759284501,"Tier I",NA,NA
"124","energy policy","Tier I",1,6.022,52,2.197,146,4.14,0.05308,0,5.39343426616675,"Tier I",NA,NA
"125","food technology","Tier III",1,NA,NA,0.125,52,0.233,0.00024,0,0.42324438052565,"Tier III",NA,NA
"126","global food security","Tier III",1,NA,NA,1.742,18,3.527,0.00225,0,2.80361984910747,"Tier II",NA,NA
"127","housing and society","Tier III",1,NA,NA,0.102,1,NA,NA,0,-2.05579640549858,"Tier III",NA,NA
"128","housing studies","Tier II",1,0.221,4,1.336,54,1.513,0.00271,0,1.99381995310718,"Tier II",NA,NA
"129","journal of agricultural and resource economics","Tier II",1,2.459,12,0.688,38,1,9e-04,1,2.44119698055943,"Tier II",NA,NA
"130","journal of applied poultry research",NA,1,NA,NA,0.566,47,0.887,0.00178,0,2.42929575025538,"Tier II",NA,NA
"131","journal of behavioral and experimental economics",NA,1,2.391,15,0.517,46,0.809,0.00098,1,2.43428117099034,"Tier II",NA,NA
"132","journal of development effectiveness","Tier I",1,1.583,10,0.48,12,0.484,0.00101,0,1.55447823968991,"Tier III",NA,NA
"133","journal of development studies","Tier II",1,3.247,23,0.914,66,1.134,0.0049,0,3.44494362162627,"Tier I",NA,NA
"134","journal of economic geography","Tier I",1,6.401,24,3.473,77,3.648,0.0061,1,4.60603432837202,"Tier I",NA,NA
"135","journal of economic policy reform",NA,1,1.393,8,0.43,12,0.925,5e-04,1,1.43349991533262,"Tier III",NA,NA
"136","journal of product and brand management","Tier III",1,NA,NA,0.659,40,NA,NA,0,1.83666624647151,"Tier III",NA,NA
"137","journal of social sciences","Tier III",1,0.025,2,NA,NA,NA,NA,0,-1.5066719330031,"Tier III",NA,NA
"138","journal of soil and water conservation","Tier II",1,NA,NA,NA,NA,2.229,0.00277,0,3.31962635332162,"Tier I",NA,NA
"139","journal of technology transfer","Tier I",1,2.414,15,1.254,57,2.631,0.00207,0,3.33816000325664,"Tier I",NA,NA
"140","journal of urban economics","Tier I",1,11.03,33,2.56,83,1.904,0.00657,1,4.62173645325617,"Tier I",NA,NA
"141","preventive veterinary medicine","Tier I",1,NA,NA,1.185,76,1.987,0.00914,0,3.24301314339946,"Tier I",NA,NA
"142","professional animal scientist",NA,1,NA,NA,0.348,23,NA,NA,0,-0.00906697484379979,"Tier III",NA,NA
"143","review of economics and statistics","Tier I",1,22.36,62,6.306,127,2.926,0.03248,1,6.00880508601484,"Tier I",NA,NA
"144","stata journal",NA,1,4.637,21,1.283,52,1.092,0.00539,0,3.56695576811322,"Tier I",NA,NA
"145","trends in endocrinology and metabolism","Tier I",1,NA,NA,5.006,135,10.893,0.01853,0,5.52621899364742,"Tier I",NA,NA
"146","trends in organized crime","Tier III",1,NA,NA,0.412,17,NA,NA,0,-1.15308212278561,"Tier III",NA,NA
"147","water resources and economics",NA,1,NA,NA,0.705,8,NA,NA,1,-0.290684313065841,"Tier III",NA,NA
"148","annals of regional science",NA,1,2.905,18,0.569,47,0.694,0.00202,0,2.70321281184337,"Tier II",NA,NA
"149","annual review of resource economics",NA,1,5.787,16,1.522,17,1.583,0.00155,1,3.10619823982251,"Tier II",NA,NA
"150","applied economics and finance",NA,1,0.116,3,NA,NA,NA,NA,1,-1.01515219253123,"Tier III",NA,NA
"151","applied economics letters","Tier II",1,1.288,18,0.354,38,0.478,0.00367,1,2.23432270498795,"Tier II",NA,NA
"152","asian economic journal","Tier III",1,1.841,8,0.242,23,0.256,0.00026,1,0.981071934645438,"Tier III",NA,NA
"153","bioenergy research",NA,1,NA,NA,0.943,39,2.487,0.0058,0,2.73581459587194,"Tier II",NA,NA
"154","british food journal","Tier III",1,NA,NA,0.466,46,1.206,0.00206,0,1.86673333438092,"Tier II",NA,NA
"155","canadian journal of agricultural economics","Tier II",1,2.194,NA,0.544,28,1.052,0.00075,1,2.15555625362167,"Tier II",NA,NA
"156","empirical economics","Tier II",1,3.503,25,0.609,42,0.645,0.00399,1,3.00070584677001,"Tier II",NA,NA
"157","environmental management","Tier II",1,NA,NA,0.794,91,1.878,0.0084,0,2.78732179984219,"Tier II",NA,NA
"158","food policy","Tier I",1,4.35,23,1.681,72,3.086,0.00803,1,4.17572025676284,"Tier I",NA,NA
"159","gastroenterology","Tier I",1,NA,NA,6.527,345,18.392,0.12423,0,6.70284945339651,"Tier I",NA,NA
"160","health economics","Tier I",1,3.848,24,1.522,91,2.301,0.01079,1,4.16338469339943,"Tier I",NA,NA
"161","industrial relations","Tier II",1,1.93,10,0.879,46,1.647,0.00234,0,2.7713122368034,"Tier II",NA,NA
"162","international journal of risk assessment and management","Tier III",1,NA,NA,0.147,18,NA,NA,0,-1.51591993962014,"Tier III",NA,NA
"163","japan and the world economy",NA,1,2.961,13,0.419,28,0.489,0.00056,1,1.93970974913106,"Tier II",NA,NA
"164","journal of agricultural and food industrial organization","Tier III",1,1.746,7,0.223,17,NA,NA,0,0.922175582039233,"Tier III",NA,NA
"165","journal of consumer policy","Tier III",1,1.175,8,0.619,33,NA,NA,1,1.81015839134582,"Tier II",NA,NA
"166","journal of economic and social measurement","Tier III",1,6.5,3,0.393,19,NA,NA,1,1.20781681823389,"Tier III",NA,NA
"167","journal of extension","Tier III",1,NA,NA,0.216,25,NA,NA,0,-0.122043709790679,"Tier III",NA,NA
"168","journal of food distribution research","Tier III",1,0.248,4,NA,NA,NA,NA,0,-0.00324834253555591,"Tier III",NA,NA
"169","journal of food products marketing","Tier III",1,NA,NA,0.327,18,NA,NA,0,-1.28011158372513,"Tier III",NA,NA
"170","journal of hunger and environmental nutrition","Tier II",1,NA,NA,0.301,18,NA,NA,0,-1.3210300170669,"Tier III",NA,NA
"171","journal of nutrition in gerontology and geriatrics",NA,1,NA,NA,0.443,13,NA,NA,0,-0.935673274211265,"Tier III",NA,NA
"172","journal of the american water resources association","Tier I",1,NA,NA,0.77,83,1.717,0.00464,0,2.80582864938857,"Tier II",NA,NA
"173","land use policy","Tier I",1,NA,NA,1.376,77,3.089,0.01162,0,3.1483420010538,"Tier II",NA,NA
"174","maternal and child health journal","Tier I",1,NA,NA,1.208,65,1.788,0.01381,0,3.16088898873382,"Tier I",NA,NA
"175","public health nutrition","Tier I",1,NA,NA,1.03,111,2.326,0.01893,0,3.34753392190402,"Tier I",NA,NA
"176","renewable agriculture and food systems","Tier III",1,NA,NA,0.595,38,1.333,0.00129,0,1.81067658924539,"Tier III",NA,NA
"177","agricultural economics","Tier II",1,5.04,23,1.167,58,1.758,0.00329,1,3.67420954748619,"Tier I",NA,NA
"178","agriculture",NA,1,0.116,3,0.196,4,NA,NA,0,-1.09973952555256,"Tier III",NA,NA
"179","agrofood industry hi tech",NA,1,NA,NA,0.193,15,0.299,0.00049,0,0.265301025902617,"Tier III",NA,NA
"180","children and youth services review","Tier III",1,0.164,6,0.655,64,1.226,0.00787,0,2.00342577351059,"Tier II",NA,NA
"181","climatic change","Tier I",1,1.183,19,1.883,146,3.496,0.03926,0,4.33275729627474,"Tier I",NA,NA
"182","current obesity reports","Tier III",1,NA,NA,0.495,5,NA,NA,0,-1.44301559623151,"Tier III",NA,NA
"183","ecological economics","Tier I",1,4.285,35,1.712,151,2.965,0.01913,1,4.74633570558676,"Tier I",NA,NA
"184","economics and human biology","Tier II",1,2.892,15,1.569,43,2.168,0.00336,1,3.42243682586528,"Tier I",NA,NA
"185","economics letters","Tier II",1,3.077,34,0.702,72,0.558,0.01751,1,3.55934059319871,"Tier I",NA,NA
"186","electronic international journal of time use research","Tier II",1,0.922,4,0.12,4,NA,NA,1,-0.596747443779784,"Tier III",NA,NA
"187","food security","Tier III",1,0.451,6,0.869,26,2.271,0.00305,0,2.11482523669846,"Tier II",NA,NA
"188","growth and change",NA,1,1.367,9,0.996,42,0.561,0.00067,0,2.10833381047738,"Tier II",NA,NA
"189","health economics review","Tier III",1,0.331,4,0.379,7,NA,NA,1,-0.074834418455977,"Tier III",NA,NA
"190","international journal of environmental research and public health",NA,1,NA,NA,0.82,59,2.101,0.02694,0,3.03005388650492,"Tier II",NA,NA
"191","journal of agricultural and applied economics","Tier II",1,2.348,14,NA,NA,NA,NA,1,2.75214237258702,"Tier II",NA,NA
"192","journal of commodity markets",NA,1,0.6,2,NA,NA,NA,NA,1,0.166093540001983,"Tier III",NA,NA
"193","journal of dairy science","Tier I",1,NA,NA,1.304,152,2.474,0.03161,0,3.94428779310733,"Tier I",NA,NA
"194","journal of health economics","Tier I",1,8.501,33,2.74,97,2.373,0.01502,1,4.84417738804303,"Tier I",NA,NA
"195","land economics","Tier I",1,4.7,19,1.632,69,1.895,0.00294,1,3.75601054971057,"Tier I",NA,NA
"197","quantitative marketing and economics","Tier II",1,2.606,12,2.299,24,1.333,0.00199,1,3.02821344890213,"Tier II",NA,NA
"198","resource and energy economics","Tier II",1,5.769,20,NA,NA,1.701,0.00321,1,3.7274312439211,"Tier I",NA,NA
"199","review of regional studies","Tier III",1,0.978,5,0.259,15,NA,NA,0,0.49932342088608,"Tier III",NA,NA
"200","social science journal","Tier III",1,NA,NA,0.435,27,0.715,0.0012,0,1.61399595070663,"Tier III",NA,NA
"201","social service review","Tier III",1,NA,NA,1.177,44,1.275,0.00112,0,2.55768665545951,"Tier II",NA,NA
"202","soil science","Tier III",1,NA,NA,0.41,76,0.864,0.00175,0,2.26647290953187,"Tier II",NA,NA
"203","southeastern europe journal of economics",NA,1,0.408,2,NA,NA,NA,NA,1,-0.305247473826072,"Tier III",NA,NA
"204","sustainability","Tier III",1,0.233,11,0.146,12,1.789,0.00908,0,1.40134200349642,"Tier III",NA,NA
"205","world development","Tier I",1,6.049,42,2.205,133,2.848,0.01988,1,4.9791503755429,"Tier I",NA,NA
"206","agricultural and resource economics review","Tier III",1,1.649,11,0.4,22,NA,NA,1,1.66679320091054,"Tier II",NA,NA
"207","agricultural history","Tier III",1,NA,NA,0.113,12,0.163,0.00019,0,-0.296340469757124,"Tier III",NA,NA
"208","agroforestry systems",NA,1,NA,NA,0.475,60,1.17,0.00219,0,1.99781371438709,"Tier II",NA,NA
"209","agronomy journal","Tier II",1,NA,NA,0.741,102,1.614,0.00756,0,2.68946528293681,"Tier II",NA,NA
"210","american journal of preventive medicine",NA,1,NA,NA,2.578,173,4.212,0.04223,0,5.09186197914737,"Tier I",NA,NA
"211","applied economics","Tier II",1,2.351,27,0.464,62,0.648,0.0082,1,3.07480906004634,"Tier II",NA,NA
"212","australian journal of agricultural and resource economics","Tier II",1,2.39,13,0.999,38,1.826,0.00113,1,2.83698692069675,"Tier II",NA,NA
"213","brazilian review of economics and agribusiness","Tier III",1,0.74,1,NA,NA,NA,NA,1,0.0730725733918361,"Tier III",NA,NA
"214","childhood obesity","Tier III",1,NA,NA,1.118,20,2.243,0.00361,0,2.65131429597362,"Tier II",NA,NA
"215","climate change economics","Tier II",1,1.146,9,NA,NA,NA,NA,1,2.34647597183898,"Tier II",NA,NA
"216","economic development and cultural change","Tier I",1,6.07,19,1.148,55,0.875,0.0024,1,3.35128189074708,"Tier I",NA,NA
"217","economic development and cultural change","Tier III",1,6.07,19,1.148,55,0.875,0.0024,1,3.35128189074708,"Tier I",NA,NA
"218","economics, management and financial markets","Tier III",1,NA,NA,NA,NA,NA,NA,1,-1.85325731829402,"Tier III",NA,NA
"219","eurochoices","Tier III",1,0.267,3,0.255,9,NA,NA,1,-0.407390892356239,"Tier III",NA,NA
"220","food control","Tier I",1,NA,NA,1.462,86,3.496,0.02601,0,3.75822501981883,"Tier I",NA,NA
"221","food studies: an interdisciplinary journal",NA,1,NA,NA,NA,NA,NA,NA,0,-1.78780456888772,"Tier III",NA,NA
"222","international food and agribusiness management review",NA,1,0.639,6,0.311,26,0.443,0.00068,0,1.04316494510346,"Tier III",NA,NA
"223","international journal of health geographics",NA,1,NA,NA,1.313,53,3.282,0.00386,0,2.78074907553559,"Tier II",NA,NA
"224","international regional science review","Tier III",1,1.523,7,0.51,44,1.351,0.00085,0,2.06916700875333,"Tier II",NA,NA
"225","journal of agribusiness","Tier III",1,0.728,2,NA,NA,NA,NA,0,0.295303707244711,"Tier III",NA,NA
"226","journal of economic perspectives","Tier I",1,22.084,50,6.807,150,5.727,0.02555,1,6.13983253612996,"Tier I",NA,NA
"227","journal of environmental economics and policy",NA,1,0.617,4,NA,NA,NA,NA,1,1.52165826680267,"Tier III",NA,NA
"228","journal of financial counseling and planning",NA,1,NA,NA,0.137,27,NA,NA,1,-0.705515094812601,"Tier III",NA,NA
"229","journal of population economics","Tier I",1,8.744,29,1.587,60,1.136,0.00504,1,4.0111907665395,"Tier I",NA,NA
"230","journal of swine health and production","Tier III",1,NA,NA,0.508,29,0.562,0.00065,0,1.67751561245175,"Tier III",NA,NA
"231","journal of the american society of farm managers and rural appraisers","Tier II",1,0.172,2,NA,NA,NA,NA,0,-1.58751727304325,"Tier III",NA,NA
