"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag"
"64","forum for health economics and policy","Tier III",1,"1.219","5","0.14","2",NA,NA,"1"
"65","international environmental agreements: politics, law and economics",NA,1,"0.652","6","0.762","26",NA,NA,"1"
"66","international journal of trade and global markets","Tier III",1,"0.195","3","0.203","3",NA,NA,"1"
"67","international real estate review","Tier III",1,"0.531","4",NA,NA,NA,NA,"0"
"68","journal of agribusiness in developing and emerging economies","Tier III",1,"0.535","4",NA,NA,NA,NA,"0"
"69","journal of agricultural economics","Tier II",1,"4.406","16","1.196","46","1.795","0.00183","1"
"70","journal of applied economics","Tier II",1,"2.871","9","0.291","14","0.455","0.00034","1"
"71","journal of asian economics","Tier III",1,"3.779","16","0.508","35",NA,NA,"1"
"72","journal of choice modelling","Tier III",1,"1.124","6","0.576","15","1.162","0.00071","1"
"73","journal of disability policy studies",NA,1,NA,NA,"0.409","22","1.191","0.00071","0"
"74","journal of environmental management","Tier I",1,NA,NA,"1.141","123","4.01","0.03619","0"
"75","journal of food protection","Tier I",1,NA,NA,"0.759","115","1.417","0.00965","0"
"76","journal of income distribution","Tier III",1,"1.066","5","0.105","8",NA,NA,"1"
"77","journal of international food and agribusiness marketing","Tier III",1,NA,NA,"0.233","17",NA,NA,"0"
"78","journal of natural resources policy research","Tier III",1,NA,NA,"0.199","4",NA,NA,"0"
"79","journal of the association of environmental and resource economists",NA,1,"3.976","12",NA,NA,NA,NA,"1"
"80","journal of wine economics","Tier III",1,"0.662","6",NA,NA,NA,NA,"1"
"81","nutrition today","Tier III",1,NA,NA,"0.165","13",NA,NA,"0"
"82","public finance review",NA,1,"2.551","12","0.627","24",NA,NA,"1"
"83","regional science and urban economics","Tier I",1,"5.367","26","1.017","59","1.336","0.00522","1"
"84","water resources research",NA,1,NA,NA,"2.383","158","4.397","0.05803","0"
"85","advances in nutrition",NA,1,NA,NA,"1.938","47","5.233","0.01144","0"
"86","agricultural finance review","Tier II",1,"1.064","7","0.314","16",NA,NA,"1"
"87","american journal of potato research",NA,1,NA,NA,"0.509","39","0.944","0.0011","0"
"88","american journal of public health","Tier I",1,"0.352","11","2.43","212","3.858","0.06261","0"
"89","applied research in quality of life","Tier II",1,NA,NA,"0.281","19","1.286","0.00088","0"
"90","british journal of nutrition","Tier I",1,NA,NA,"1.504","151","3.706","0.03608","0"
"91","contemporary economic policy","Tier II",1,"2.131","13","0.557","39","0.887","0.00139","1"
"92","economics of governance","Tier III",1,"2.786","10","0.257","19","0.576","0.00054","1"
"93","economic systems research","Tier II",1,"4.27","14","2.911","41","2.691","0.00271","1"
"94","energy economics","Tier I",1,"7.954","50","2.387","101","3.199","0.02117","1"
"95","environmental and resource economics","Tier I",1,"4.857","25","1.036","72","1.582","0.00547","1"
"96","environmental science and technology","Tier II",1,NA,NA,"2.538","301","6.198","0.19079","0"
"97","european review of agricultural economics","Tier I",1,"3.962","18","1.078","48","1.6","0.00183","1"
"98","forest policy and economics","Tier III",1,"0.695","8","1.06","50","1.982","0.00342","1"
"99","industrial and corporate change","Tier I",1,"5.254","23","1.835","88","1.777","0.00363","1"
"100","journal of environmental economics and management",NA,1,"10.334","34","2.403","95","2.305","0.00771","1"
"101","journal of food composition and analysis",NA,1,NA,NA,"1.093","88","2.752","0.00627","0"
"102","journal of international development","Tier III",1,"1.23","12","0.477","54","0.786","0.00246","0"
"103","journal of international trade law and policy","Tier III",1,NA,NA,"0.143","6",NA,NA,"1"
"104","journal of nutrition","Tier I",1,NA,NA,"1.956","217","4.145","0.02889","0"
"105","journal of public health","Tier II",1,NA,NA,"0.655","65","2.125","0.00626","0"
"106","journal of quantitative economics","Tier III",1,"0.464","4",NA,NA,NA,NA,"1"
"107","journal of the world aquaculture society","Tier III",1,NA,NA,"0.504","46","1.015","0.00176","0"
"108","national tax journal","Tier II",1,"3.026","15","1.101","46","0.653","0.00285","1"
"109","plos one",NA,1,NA,NA,"1.201","218","2.806","1.92176","0"
"110","proceedings of the national academy of sciences of the united states of america","Tier I",1,NA,NA,"6.321","648","9.661","1.23581","0"
"111","regional studies",NA,1,"2.355","23","2.038","91","2.78","0.00804","0"
"112","renewable energy","Tier I",1,"2.466","28","1.697","134","4.357","0.04051","0"
"113","review of economics and finance",NA,1,"0.496","5",NA,NA,NA,NA,"1"
"114","review of industrial organization","Tier III",1,"1.874","12","0.67","46","0.65","0.00127","1"
"115","african journal of agricultural and resource economics","Tier III",1,"1.504","8",NA,NA,NA,NA,"1"
"116","agrekon",NA,1,"0.653","3","0.228","17","0.224","1e-04","1"
"117","annals of internal medicine","Tier I",1,NA,NA,"6.492","339","17.202","0.09996","0"
"118","british medical journal",NA,1,NA,NA,"2.687","358","20.785","0.15994","0"
"119","china economic review","Tier II",1,"3.822","20","0.837","52","1.366","0.00375","1"
"120","economics of innovation and new technology","Tier III",1,"3.433","16","0.62","22",NA,NA,"1"
"121","energy","Tier I",1,"2.071","32","1.999","134","4.52","0.06612","0"
"122","energy journal","Tier I",1,"6.634","26","1.537","57","2.429","0.00354","1"
"123","energy policy","Tier I",1,"6.022","52","2.197","146","4.14","0.05308","0"
"124","food technology","Tier III",1,NA,NA,"0.125","52","0.233","0.00024","0"
"125","global food security","Tier III",1,NA,NA,"1.742","18","3.527","0.00225","0"
"126","housing and society","Tier III",1,NA,NA,"0.102","1",NA,NA,"0"
"127","housing studies","Tier II",1,"0.221","4","1.336","54","1.513","0.00271","0"
"128","journal of agricultural and resource economics","Tier II",1,"2.459","12","0.688","38","1","9e-04","1"
"129","journal of applied poultry research",NA,1,NA,NA,"0.566","47","0.887","0.00178","0"
"130","journal of behavioral and experimental economics",NA,1,"2.391","15","0.517","46","0.809","0.00098","1"
"131","journal of development effectiveness","Tier I",1,"1.583","10","0.48","12","0.484","0.00101","0"
"132","journal of development studies","Tier II",1,"3.247","23","0.914","66","1.134","0.0049","0"
"133","journal of economic geography","Tier I",1,"6.401","24","3.473","77","3.648","0.0061","1"
"134","journal of economic policy reform",NA,1,"1.393","8","0.43","12","0.925","5e-04","1"
"135","journal of product and brand management","Tier III",1,NA,NA,"0.659","40",NA,NA,"0"
"136","journal of social sciences","Tier III",1,"0.025","2",NA,NA,NA,NA,"0"
"137","journal of soil and water conservation","Tier II",1,NA,NA,NA,NA,"2.229","0.00277","0"
"138","journal of technology transfer","Tier I",1,"2.414","15","1.254","57","2.631","0.00207","0"
"139","journal of urban economics","Tier I",1,"11.03","33","2.56","83","1.904","0.00657","1"
"140","preventive veterinary medicine","Tier I",1,NA,NA,"1.185","76","1.987","0.00914","0"
"141","professional animal scientist",NA,1,NA,NA,"0.348","23",NA,NA,"0"
"142","review of economics and statistics","Tier I",1,"22.36","62","6.306","127","2.926","0.03248","1"
"143","stata journal",NA,1,"4.637","21","1.283","52","1.092","0.00539","0"
"144","trends in endocrinology and metabolism","Tier I",1,NA,NA,"5.006","135","10.893","0.01853","0"
"145","trends in organized crime","Tier III",1,NA,NA,"0.412","17",NA,NA,"0"
"146","water resources and economics",NA,1,NA,NA,"0.705","8",NA,NA,"1"
"147","annals of regional science",NA,1,"2.905","18","0.569","47","0.694","0.00202","0"
"148","annual review of resource economics",NA,1,"5.787","16","1.522","17","1.583","0.00155","1"
"149","applied economics and finance",NA,1,"0.116","3",NA,NA,NA,NA,"1"
"150","applied economics letters","Tier II",1,"1.288","18","0.354","38","0.478","0.00367","1"
"151","asian economic journal","Tier III",1,"1.841","8","0.242","23","0.256","0.00026","1"
"152","bioenergy research",NA,1,NA,NA,"0.943","39","2.487","0.0058","0"
"153","british food journal","Tier III",1,NA,NA,"0.466","46","1.206","0.00206","0"
"154","canadian journal of agricultural economics","Tier II",1,"2.194",NA,"0.544","28","1.052","0.00075","1"
"155","empirical economics","Tier II",1,"3.503","25","0.609","42","0.645","0.00399","1"
"156","environmental management","Tier II",1,NA,NA,"0.794","91","1.878","0.0084","0"
"157","food policy","Tier I",1,"4.35","23","1.681","72","3.086","0.00803","1"
"158","gastroenterology","Tier I",1,NA,NA,"6.527","345","18.392","0.12423","0"
"159","health economics","Tier I",1,"3.848","24","1.522","91","2.301","0.01079","1"
"160","industrial relations","Tier II",1,"1.93","10","0.879","46","1.647","0.00234","0"
"161","international journal of risk assessment and management","Tier III",1,NA,NA,"0.147","18",NA,NA,"0"
"162","japan and the world economy",NA,1,"2.961","13","0.419","28","0.489","0.00056","1"
"163","journal of agricultural and food industrial organization","Tier III",1,"1.746","7","0.223","17",NA,NA,"0"
"164","journal of consumer policy","Tier III",1,"1.175","8","0.619","33",NA,NA,"1"
"165","journal of economic and social measurement","Tier III",1,"6.5","3","0.393","19",NA,NA,"1"
"166","journal of extension","Tier III",1,NA,NA,"0.216","25",NA,NA,"0"
"167","journal of food distribution research","Tier III",1,"0.248","4",NA,NA,NA,NA,"0"
"168","journal of food products marketing","Tier III",1,NA,NA,"0.327","18",NA,NA,"0"
"169","journal of hunger and environmental nutrition","Tier II",1,NA,NA,"0.301","18",NA,NA,"0"
"170","journal of nutrition in gerontology and geriatrics",NA,1,NA,NA,"0.443","13",NA,NA,"0"
"171","journal of the american water resources association","Tier I",1,NA,NA,"0.77","83","1.717","0.00464","0"
"172","land use policy","Tier I",1,NA,NA,"1.376","77","3.089","0.01162","0"
"173","maternal and child health journal","Tier I",1,NA,NA,"1.208","65","1.788","0.01381","0"
"175","public health nutrition","Tier I",1,NA,NA,"1.03","111","2.326","0.01893","0"
"176","renewable agriculture and food systems","Tier III",1,NA,NA,"0.595","38","1.333","0.00129","0"
"177","agricultural economics","Tier II",1,"5.04","23","1.167","58","1.758","0.00329","1"
"178","agriculture",NA,1,"0.116","3","0.196","4",NA,NA,"0"
"179","agrofood industry hi tech",NA,1,NA,NA,"0.193","15","0.299","0.00049","0"
"180","children and youth services review","Tier III",1,"0.164","6","0.655","64","1.226","0.00787","0"
"181","climatic change","Tier I",1,"1.183","19","1.883","146","3.496","0.03926","0"
"182","current obesity reports","Tier III",1,NA,NA,"0.495","5",NA,NA,"0"
"183","ecological economics","Tier I",1,"4.285","35","1.712","151","2.965","0.01913","1"
"184","economics and human biology","Tier II",1,"2.892","15","1.569","43","2.168","0.00336","1"
"185","economics letters","Tier II",1,"3.077","34","0.702","72","0.558","0.01751","1"
"186","electronic international journal of time use research","Tier II",1,"0.922","4","0.12","4",NA,NA,"1"
"187","food security","Tier III",1,"0.451","6","0.869","26","2.271","0.00305","0"
"188","growth and change",NA,1,"1.367","9","0.996","42","0.561","0.00067","0"
"189","health economics review","Tier III",1,"0.331","4","0.379","7",NA,NA,"1"
"190","international journal of environmental research and public health",NA,1,NA,NA,"0.82","59","2.101","0.02694","0"
"191","journal of agricultural and applied economics","Tier II",1,"2.348","14",NA,NA,NA,NA,"1"
"192","journal of commodity markets",NA,1,"0.6","2",NA,NA,NA,NA,"1"
"193","journal of dairy science","Tier I",1,NA,NA,"1.304","152","2.474","0.03161","0"
"194","journal of health economics","Tier I",1,"8.501","33","2.74","97","2.373","0.01502","1"
"195","land economics","Tier I",1,"4.7","19","1.632","69","1.895","0.00294","1"
"196","mathematical finance","Tier II",0,"3.53","12","2.079","61","2.414","0.00396","1"
"197","quantitative marketing and economics","Tier II",1,"2.606","12","2.299","24","1.333","0.00199","1"
"198","resource and energy economics","Tier II",1,"5.769","20",NA,NA,"1.701","0.00321","1"
"199","review of regional studies","Tier III",1,"0.978","5","0.259","15",NA,NA,"0"
"200","social science journal","Tier III",1,NA,NA,"0.435","27","0.715","0.0012","0"
"201","social service review","Tier III",1,NA,NA,"1.177","44","1.275","0.00112","0"
"202","soil science","Tier III",1,NA,NA,"0.41","76","0.864","0.00175","0"
"203","southeastern europe journal of economics",NA,1,"0.408","2",NA,NA,NA,NA,"1"
"204","sustainability","Tier III",1,"0.233","11","0.146","12","1.789","0.00908","0"
"205","world development","Tier I",1,"6.049","42","2.205","133","2.848","0.01988","1"
"206","agricultural and resource economics review","Tier III",1,"1.649","11","0.4","22",NA,NA,"1"
"207","agricultural history","Tier III",1,NA,NA,"0.113","12","0.163","0.00019","0"
"208","agroforestry systems",NA,1,NA,NA,"0.475","60","1.17","0.00219","0"
"209","agronomy journal","Tier II",1,NA,NA,"0.741","102","1.614","0.00756","0"
"210","american journal of preventive medicine",NA,1,NA,NA,"2.578","173","4.212","0.04223","0"
"211","applied economics","Tier II",1,"2.351","27","0.464","62","0.648","0.0082","1"
"212","australian journal of agricultural and resource economics","Tier II",1,"2.39","13","0.999","38","1.826","0.00113","1"
"213","brazilian review of economics and agribusiness","Tier III",1,"0.74","1",NA,NA,NA,NA,"1"
"214","childhood obesity","Tier III",1,NA,NA,"1.118","20","2.243","0.00361","0"
"215","climate change economics","Tier II",1,"1.146","9",NA,NA,NA,NA,"1"
"217","economic development and cultural change","Tier I",1,"6.07","19","1.148","55","0.875","0.0024","1"
"218","economic development and cultural change","Tier III",1,"6.07","19","1.148","55","0.875","0.0024","1"
"219","economics, management and financial markets","Tier III",1,NA,NA,NA,NA,NA,NA,"1"
"220","eurochoices","Tier III",1,"0.267","3","0.255","9",NA,NA,"1"
"221","food control","Tier I",1,NA,NA,"1.462","86","3.496","0.02601","0"
"222","food studies: an interdisciplinary journal",NA,1,NA,NA,NA,NA,NA,NA,"0"
"223","international food and agribusiness management review",NA,1,"0.639","6","0.311","26","0.443","0.00068","0"
"224","international journal of health geographics",NA,1,NA,NA,"1.313","53","3.282","0.00386","0"
"225","international regional science review","Tier III",1,"1.523","7","0.51","44","1.351","0.00085","0"
"226","journal of agribusiness","Tier III",1,"0.728","2",NA,NA,NA,NA,"0"
"227","journal of economic perspectives","Tier I",1,"22.084","50","6.807","150","5.727","0.02555","1"
"228","journal of environmental economics and policy",NA,1,"0.617","4",NA,NA,NA,NA,"1"
"229","journal of financial counseling and planning",NA,1,NA,NA,"0.137","27",NA,NA,"1"
"230","journal of population economics","Tier I",1,"8.744","29","1.587","60","1.136","0.00504","1"
"231","journal of swine health and production","Tier III",1,NA,NA,"0.508","29","0.562","0.00065","0"
"232","journal of the american society of farm managers and rural appraisers","Tier II",1,"0.172","2",NA,NA,NA,NA,"0"
"233","journal of the association for consumer research",NA,1,"0.084","1",NA,NA,NA,NA,"0"
"234","managerial and decision economics","Tier III",1,"1.395","11","0.394","36",NA,NA,"1"
"235","population research and policy review","Tier III",1,"0.708","7","0.914","38","1.211","0.00204","0"
"236","review of world economics","Tier II",1,"6.702","23","0.733","41","0.967","0.00155","1"
"237","social security bulletin","Tier III",1,NA,NA,"0.416","18",NA,NA,"0"
"238","telecommunications policy",NA,1,"3.242","15","0.732","54","1.526","0.00227","0"
"70100","international food and agribusiness management review","Tier III",0,NA,NA,NA,NA,NA,NA,NA
"98100","journal of international economic agreements","Tier III",0,NA,NA,NA,NA,NA,NA,NA
"147100","mathematical finance","Tier II",0,"3.53","12","2.079","61","2.414","0.00396","1"
"198100","natural resource modelling","Tier III",0,NA,NA,"0.286","12",NA,NA,NA
"275","quarterly journal of economics",NA,0,"55.67","83","24.769","205","6.662","0.05107","1"
"276","journal of economic literature",NA,0,"45.489","49","9.095","132","5.22","0.01818","1"
"277","american economic journal: macroeconomics",NA,0,"31.608","49","12.517","25",NA,NA,"1"
"278","econometrica",NA,0,"29.6","54","14.396","152","3.379","0.04705","1"
"279","journal of political economy",NA,0,"27.708","51","13.455","151","3.923","0.02468","1"
"280","american economic journal: applied economics",NA,0,"26.862","56","10.319","49",NA,NA,"1"
"281","review of economic studies",NA,0,"26.82","58","14.871","112","4.03","0.03601","1"
"282","journal of finance",NA,0,"26.537","65","20.973","233","6.043","0.05656","1"
"283","economic policy",NA,0,"24.829","32","2.709","58","2.844","0.00352","1"
"284","journal of the european economic association",NA,0,"24.007","48","7.684","66","2.758","0.02048","1"
"285","review of financial studies",NA,0,"22.322","61","12.989","135","3.689","0.05173","1"
"286","brookings papers on economic activity",NA,0,"21.211","24","2.85","64","1.593","0.00795","1"
"287","journal of monetary economics",NA,0,"20.564","54","7.148","103","2.11","0.02077","1"
"288","journal of financial economics",NA,0,"19.016","65","13.218","194","4.505","0.06444","1"
"289","annual review of economics",NA,0,"18.646","34","5.716","29","2.161","0.01006","1"
"290","foundations and trends(r) in econometrics",NA,0,"18.313","6",NA,NA,NA,NA,NA
"291","economic journal",NA,0,"17.84","51","3.993","126","2.608","0.02251","1"
"292","journal of international economics",NA,0,"16.789","56","4.657","108","2.042","0.01953","1"
"293","imf economic review",NA,0,"16.783","31","2.342","53","1","0.00467","1"
"294","quarterly review",NA,0,"16.75","4",NA,NA,NA,NA,NA
"295","american economic journal: economic policy",NA,0,"16.6","38","8.368","28",NA,NA,"1"
"296","annals of economics and finance",NA,0,"16.374","19","0.252","11","0.59","0.00059","1"
"297","journal of human resources",NA,0,"15.997","36","4.628","82","4.047","0.00963","1"
"298","journal of labor economics",NA,0,"15.445","37","7.076","84","2.887","0.00953","1"
"299","journal of financial intermediation",NA,0,"14.703","30","2.961","59","1.627","0.00339","1"
"300","journal of applied econometrics",NA,0,"13.565","38","2.832","76","2.117","0.00948","1"
"301","bis quarterly review",NA,0,"13.321","24",NA,NA,NA,NA,NA
"302","journal of money",NA,0,"13.18","40",NA,NA,NA,NA,NA
"303","review of economic dynamics",NA,0,"13.121","35","3.036","50","1.053","0.00699","1"
"304","journal of public economics",NA,0,"12.761","49","3.071","107","1.538","0.02264","1"
"305","international economic review",NA,0,"12.151","28","3.926","71","1.773","0.00897","1"
"306","international journal of central banking",NA,0,"11.737","32","1.671","17","0.975","0.0037","1"
"307","journal of business and economic statistics",NA,0,"11.636","36","2.577","77","1.658","0.01192","1"
"308","experimental economics",NA,0,"10.759","25","2.022","40","2.391","0.00716","1"
"309","quantitative economics",NA,0,"10.633","23","3.742","15","1.614","0.00537","1"
"310","european financial management",NA,0,"10.589","7","0.974","35","1.236","0.00164","1"
"311","journal of economic surveys",NA,0,"10.528","34","1.724","72","2.1","0.00491","1"
"312","annual review of financial economics",NA,0,"9.87","18","4.501","16","1.415","0.00398","1"
"313","rand journal of economics",NA,0,"9.84","30","3.34","87","1.465","0.00809","1"
"314","european economic review",NA,0,"9.464","41","2.009","103","1.259","0.01276","1"
"315","journal of econometrics",NA,0,"9.389","43","3.102","122","1.633","0.02761","1"
"316","oxford bulletin of economics and statistics",NA,0,"9.24","24","1.167","57","1.138","0.00335","1"
"317","world bank research observer",NA,0,"9.156","17","1.541","51","2.15","0.00127","1"
"318","journal of international money and finance",NA,0,"9.11","42","1.813","72","1.853","0.00879","1"
"319","labour economics",NA,0,"8.851","33","1.151","57","1.036","0.00646","1"
"320","journal of international business studies",NA,0,"8.769","32","4.848","148","5.869","0.00849","1"
"321","review of environmental economics and policy",NA,0,"8.703","23","3.081","34","3.862","0.00299","1"
"322","scandinavian journal of economics",NA,0,"8.421","27","1.856","53","1.444","0.00428","1"
"323","world bank economic review",NA,0,"8.378","22","1.412","73","1.431","0.00323","1"
"324","econometrics journal",NA,0,"8.329","18","1.344","24","0.513","0.00287","1"
"325","american economic journal: microeconomics",NA,0,"8.307","24","5.41","20",NA,NA,"1"
"326","economic policy review",NA,0,"8.153","12",NA,NA,NA,NA,NA
"327","journal of financial stability",NA,0,"8.063","30","1.432","30","1.946","0.00353","1"
"328","journal of banking and finance",NA,0,"7.8","50","1.767","117","1.776","0.02273","1"
"329","journal of financial and quantitative analysis",NA,0,"7.667","31","5.099","90","1.673","0.01246","1"
"330","journal of business venturing",NA,0,"7.403","24","5.771","131","5.774","0.00798",NA
"331","american journal of agricultural economics appendices",NA,0,"7.236","10",NA,NA,NA,NA,NA
"332","journal of economic theory",NA,0,"7.22","33","3.266","80","1.147","0.01836","1"
"333","journal of accounting and economics",NA,0,"7.199","22","7.662","116","3.839","0.01094","1"
"334","review of finance",NA,0,"7.166","29","4.249","40","1.95","0.00968","1"
"335","journal of economic dynamics and control",NA,0,"7.125","36","1.269","72","1","0.01128","1"
"336","european journal of political economy",NA,0,"6.715","25","0.993","59","1.098","0.00356","1"
"337","review of world economics (weltwirtschaftliches archiv)",NA,0,"6.702","23",NA,NA,NA,NA,NA
"338","journal of risk and uncertainty",NA,0,"6.684","20","1.4","59","1.298","0.0026","1"
"339","journal of comparative economics",NA,0,"6.583","27","1.065","66","1.103","0.00385","1"
"340","current issues in economics and finance",NA,0,"6.489","9",NA,NA,NA,NA,NA
"341","journal of financial econometrics",NA,0,"6.396","19","2.096","31","1.8","0.00305","1"
"342","critical finance review",NA,0,"6.334","6",NA,NA,NA,NA,NA
"343","theoretical economics",NA,0,"6.324","18","5.511","20","1.737","0.00679","1"
"344","ekonomia",NA,0,"6.316","2",NA,NA,NA,NA,NA
"345","econometric theory",NA,0,"6.283","26","2.801","56","1.011","0.00691","1"
"346","proceedings",NA,0,"6.22","13",NA,NA,NA,NA,NA
"347","'angelo costa' lectures serie",NA,0,"6","2",NA,NA,NA,NA,NA
"348","journal of economic inequality",NA,0,"5.984","21","0.575","26","0.607","0.00191","1"
"349","journal of economics and management strategy",NA,0,"5.958","22","1.199","56","0.912","0.00329","1"
"350","oxford economic papers",NA,0,"5.942","23","0.844","56",NA,NA,"1"
"351","journal of financial markets",NA,0,"5.936","18","2.895","46","1.134","0.00309","1"
"352","journal of economic behavior and organization",NA,0,"5.915","38","1.665","88","1.323","0.01708","1"
"353","international review of environmental and resource economics",NA,0,"5.911","12","1.107","15",NA,NA,"1"
"354","economica",NA,0,"5.848","24","0.963","52","0.92","0.0029","1"
"355","international journal of industrial organization",NA,0,"5.843","25","1.364","68","0.795","0.00568",NA
"356","journal of accounting research",NA,0,"5.812","20","6.172","108","3","0.0082","1"
"357","proceedings  economic policy symposium  jackson hole",NA,0,"5.736","15",NA,NA,NA,NA,NA
"358","german economic review",NA,0,"5.65","18","0.616","26","0.72","0.00163","1"
"359","review of economics and institutions",NA,0,"5.646","9",NA,NA,NA,NA,NA
"360","journal of management studies",NA,0,"5.643","23","5.112","136","3.962","0.0121",NA
"361","canadian journal of economics",NA,0,"5.558","25","0.938","56",NA,NA,"1"
"362","journal of law and economics",NA,0,"5.453","20","1.534","65","0.932","0.0044","1"
"363","economic review",NA,0,"5.429","11",NA,NA,NA,NA,NA
"364","economic review",NA,0,"5.429","3",NA,NA,NA,NA,NA
"365","economic review",NA,0,"5.429","2",NA,NA,NA,NA,NA
